어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
베베숲어린이집,전라북도,전주시 덕진구,민간,40,8,전라북도 전주시 덕진구 덕진동2가 가련산로 24 영무예다음아파트 관리사무소 1층,063-277-4465,,,0,6,,,2020-10-31
베이비스쿨24시어린이집,전라북도,전주시 완산구,가정,20,6,"전라북도 전주시 완산구 새터로 63 201동 101호(서신동, 동아2차)",063-276-6555,,,0,4,,,2020-10-31
베이비팰리움어린이집,전라북도,전주시 완산구,가정,20,6,"전라북도 전주시 완산구 호암로 40 207동 101호(효자동2가, 골든팰리스휴먼시아)",063-236-2378,,,0,4,,,2020-10-31
벼리어린이집,전라북도,전주시 덕진구,민간,25,7,전라북도 전주시 덕진구 호성동1가 호성로 138 진흥더블파크2단지 관리소내,063-247-5548,,,0,4,,,2020-10-31
별나라어린이집,전라북도,전주시 덕진구,가정,13,4,"전라북도 전주시 덕진구 송천동2가 붓내3길 29 101동 102호(송천동2가, 주공아파트)",063-902-8789,,,0,4,,,2020-10-31
별님어린이집,전라북도,전주시 완산구,가정,20,2,전라북도 전주시 완산구 효자동3가 척동10길 11 1층,063-276-8893,,,0,5,,,2020-10-31
별빛어린이집,전라북도,전주시 덕진구,가정,13,2,"전라북도 전주시 덕진구 소리로 179 203동 106호(호성동1가, 주공아파트)",063-245-5266,,,0,4,,,2020-10-31
별초롱어린이집,전라북도,전주시 완산구,가정,19,3,"전라북도 전주시 완산구 모악로 4651 105동 102호(평화동2가, 동도미소드림)",063-237-1023,,,0,4,,,2020-10-31
병아리어린이집,전라북도,전주시 완산구,가정,14,4,"전라북도 전주시 완산구 모악로 4685 103동 112호(평화동2가, 우미)",063-226-7004,,,0,4,,,2020-10-31
보드미어린이집,전라북도,전주시 덕진구,가정,19,3,"전라북도 전주시 덕진구 솔내로 142 103동 103호(송천동1가, 송천신일)",063-253-8256,,,0,4,,,2020-10-31
보물섬어린이집,전라북도,전주시 완산구,민간,25,7,"전라북도 전주시 완산구 서곡로 8 관리동(효자동3가, 서곡주공)",063-255-0090,,,0,4,,,2020-10-31
복지어린이집,전라북도,전주시 완산구,법인·단체,78,9,"전라북도 전주시 완산구 평화동1가 덕적골2길 22 관리동(평화동1가, 평화주공1단지)",063-283-2733,,,1,7,,,2020-10-31
브레인어린이집,전라북도,전주시 완산구,가정,20,6,전라북도 전주시 완산구 소태정5길 18-7 1층(효자동2가),063-223-3088,,,0,6,,,2020-10-31
블루밍어린이집,전라북도,전주시 덕진구,가정,20,4,"전라북도 전주시 덕진구 안덕원3길 10 1동 102호(우아동3가, 럭키우아)",063-232-7002,,,0,4,,,2020-10-31
비전어린이집,전라북도,전주시 덕진구,민간,59,8,전라북도 전주시 덕진구 인후동1가 견훤로 333 위브어울림 아파트 관리동,063-714-3943,,,1,8,,,2020-10-31
비타민어린이집,전라북도,전주시 덕진구,가정,20,6,"전라북도 전주시 덕진구 솔내6길 7 102동 104호(송천동1가, 영창드림맨션)",063-904-9801,,,0,6,,,2020-10-31
비테어린이집,전라북도,전주시 완산구,가정,20,4,전라북도 전주시 완산구 평화2길 13 (평화동2가),063-236-3466,,,0,4,,,2020-10-31
빛뜨란어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 강변로 220-16 2동 101호(효자동1가, 삼호)",063-227-4686,,,0,5,,,2020-10-31
뽀로로어린이집,전라북도,전주시 완산구,가정,20,4,전라북도 전주시 완산구 전룡3길 11 (서신동),063-242-4009,,,0,4,,,2020-10-31
뽀로로와친구들어린이집,전라북도,전주시 덕진구,가정,20,5,"전라북도 전주시 덕진구 견훤로 333 118동 104호(인후동1가, 두산위브)",063-246-3068,,,0,4,,,2020-10-31
뽀뽀뽀어린이집,전라북도,전주시 덕진구,가정,19,2,전라북도 전주시 덕진구 송천동2가 사근1길 11 현대3차아파트 306동 103호,063-271-3617,,,0,4,,,2020-10-31
뿡뿡이어린이집,전라북도,전주시 완산구,가정,19,7,"전라북도 전주시 완산구 평화로 95 101동 106호(평화동2가, 호반리젠시빌)",063-221-2664,,,0,4,,,2020-10-31
사과나무어린이집,전라북도,전주시 완산구,가정,20,6,"전라북도 전주시 완산구 당산로 43 105동 104호(서신동, 제일비사벌)",063-909-0591,,,0,4,,,2020-10-31
사랑가득어린이집,전라북도,전주시 완산구,가정,19,4,"전라북도 전주시 완산구 서곡로 22 102동 102호(효자동3가, 서곡두산)",063-277-7941,,,0,4,,,2020-10-31
사랑나무어린이집,전라북도,전주시 완산구,가정,16,5,"전라북도 전주시 완산구 새터로 95 113동 101호(서신동, 동아한일)",063-275-3477,,,0,4,,,2020-10-31
사랑샘어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 용리로 179 103동 102호(삼천동1가, 세창짜임)",063-224-7149,,,0,4,,,2020-10-31
사랑숲어린이집,전라북도,전주시 완산구,가정,19,1,"전라북도 전주시 완산구 신봉로 74 나동 102호(효자동1가, 성원골드맨션)",063-229-6067,,,0,4,,,2020-10-31
사랑어린이집,전라북도,전주시 덕진구,사회복지법인,99,13,전라북도 전주시 덕진구 덕용1길 53-3,063-212-4031,,,1,10,,,2020-10-31
사랑열매어린이집,전라북도,전주시 덕진구,가정,20,6,"전라북도 전주시 덕진구 두간6길 9 101동 106호(송천동1가, 케이제이라미안)",063-909-4450,,,0,4,,,2020-10-31
사랑이레어린이집,전라북도,전주시 완산구,가정,20,3,전라북도 전주시 완산구 서곡1길 20-8 (효자동3가),063-251-3738,,,0,6,,,2020-10-31
사랑해어린이집,전라북도,전주시 덕진구,가정,19,7,"전라북도 전주시 덕진구 붓내3길 29 126동 104호(송천동2가, 뜨란채1차아파트)",063-277-7942,,,0,4,,,2020-10-31
사랑화수분어린이집,전라북도,전주시 완산구,민간,45,8,"전라북도 전주시 완산구 소태정로 1 관리동(효자동2가, 휴먼시아아이린)",063-223-0279,,,0,4,,,2020-10-31
사임당어린이집,전라북도,전주시 덕진구,민간,49,12,전라북도 전주시 덕진구 팽나무4길 26 (인후동1가),063-243-2240,,,0,6,,,2020-10-31
산들어린이집,전라북도,전주시 완산구,가정,19,6,"전라북도 전주시 완산구 양지2길 10 113동 103호(평화동2가, 동신)",063-227-1018,,,0,4,,,2020-10-31
살구나무어린이집,전라북도,전주시 완산구,가정,19,6,"전라북도 전주시 완산구 평화로 95 103동 106호(평화동2가, 호반리젠시빌)",063-226-7006,,,0,4,,,2020-10-31
삼천남양어린이집,전라북도,전주시 완산구,민간,31,9,"전라북도 전주시 완산구 삼천천변1길 32 관리동(삼천동1가, 남양)",063-227-7564,,,0,5,,,2020-10-31
삼천아기사랑어린이집,전라북도,전주시 완산구,가정,20,4,전라북도 전주시 완산구 삼천동1가 송정중앙로 19 (삼천동1가),063-228-7701,,,0,4,,,2020-10-31
상록어린이집,전라북도,전주시 완산구,사회복지법인,159,17,전라북도 전주시 완산구 우전로 251 (효자동2가),063-222-5002,,,1,16,,,2020-10-31
상원어린이집,전라북도,전주시 완산구,사회복지법인,73,15,전라북도 전주시 완산구 천잠로 545-7 (효자동3가),063-253-3138,,,1,16,,,2020-10-31
새나라키즈어린이집,전라북도,전주시 완산구,민간,214,20,전라북도 전주시 완산구 안터2길 29 (서신동),063-272-8415,,,1,14,,,2020-10-31
새들어린이집,전라북도,전주시 완산구,민간,65,1,전라북도 전주시 완산구 공북로 38-3 (태평동),063-253-4851,,,1,8,,,2020-10-31
새봄어린이집,전라북도,전주시 덕진구,민간,26,4,"전라북도 전주시 덕진구 틀못4길 33 관리동 보육시설(장동, 엘에이치이노팰리스아파트)",063-214-4267,,,0,5,,,2020-10-31
새빛어린이집,전라북도,전주시 완산구,법인·단체,43,7,전라북도 전주시 완산구 신봉로 4 (효자동1가),063-227-8911,,,1,4,,,2020-10-31
새소망어린이집,전라북도,전주시 덕진구,가정,19,5,"전라북도 전주시 덕진구 붓내3길 29 122동 104호(송천동2가, 주공아파트)",063-904-5550,,,0,4,,,2020-10-31
새싹어린이집,전라북도,전주시 완산구,민간,39,4,전라북도 전주시 완산구 양지3길 34-4 (평화동2가),063-229-1463,,,1,5,,,2020-10-31
새한어린이집,전라북도,전주시 덕진구,가정,20,4,"전라북도 전주시 덕진구 벚꽃로 57 112동 102호(진북동, 우성)",063-255-7255,,,0,4,,,2020-10-31
새힘어린이집,전라북도,전주시 덕진구,가정,11,3,"전라북도 전주시 덕진구 진버들3길 8-3 102동 108호(인후동1가, 진버들마을부영1차아파트)",063-244-3123,,,0,3,,,2020-10-31
색동어린이집,전라북도,전주시 완산구,민간,35,6,"전라북도 전주시 완산구 당산로 43 관리동2층(서신동, 제일비사벌)",063-272-0740,,,0,5,,,2020-10-31
샛별어린이집,전라북도,전주시 덕진구,사회복지법인,73,10,전라북도 전주시 덕진구 용흥길 26 (송천동2가),063-277-2587,,,1,10,,,2020-10-31
샛별재능어린이집,전라북도,전주시 덕진구,민간,66,11,전라북도 전주시 덕진구 조경단로 18-1,063-274-1918,,,1,8,,,2020-10-31
서곡한빛어린이집,전라북도,전주시 완산구,가정,20,3,"전라북도 전주시 완산구 서곡로 22 105동 101호(효자동3가, 서곡두산)",063-278-8085,,,0,4,,,2020-10-31
서곡해뜰어린이집,전라북도,전주시 완산구,민간,69,9,전라북도 전주시 완산구 원서곡길 54-1 (효자동3가),063-254-3334,,,1,8,,,2020-10-31
서신어린이집,전라북도,전주시 완산구,국공립,85,18,전라북도 전주시 완산구 감나무로 15 (서신동),063-251-5373,,,1,12,,,2020-10-31
서신피노키오어린이집,전라북도,전주시 완산구,가정,13,3,"전라북도 전주시 완산구 새터로 95 120동 102호(서신동, 동아한일)",063-901-8484,,,0,4,,,2020-10-31
서진우리어린이집,전라북도,전주시 완산구,민간,99,16,전라북도 전주시 완산구 평화동1가 평화18길 11,063-226-0799,,,1,10,,,2020-10-31
서호또래어린이집,전라북도,전주시 덕진구,가정,20,7,"전라북도 전주시 덕진구 송천동1가 송천로 31 105동 104호(송천동1가, 서호1차아파트)",063-904-1357,,,0,5,,,2020-10-31
서희스타어린이집,전라북도,전주시 완산구,민간,25,6,전라북도 전주시 완산구 효자동2가 홍산1길 21 서희스타힐스 관리동내,063-223-3161,,,0,5,,,2020-10-31
성산어린이집,전라북도,전주시 완산구,민간,33,6,전라북도 전주시 완산구 천경로 7 전주성산교회1층(동서학동),063-284-3444,,,0,5,,,2020-10-31
성원가정어린이집,전라북도,전주시 완산구,가정,16,6,"전라북도 전주시 완산구 새터로 60 202동 102호(서신동, 광진장미)",063-901-1556,,,0,3,,,2020-10-31
성원어린이집,전라북도,전주시 완산구,민간,33,4,"전라북도 전주시 완산구 서신천변11길 22 관리동(서신동, 성원)",063-254-4277,,,1,5,,,2020-10-31
성품바른어린이집,전라북도,전주시 덕진구,가정,20,4,전라북도 전주시 덕진구 송천동2가 세병로 85 502동 107호(에코시티 데시앙아파트),063-255-5645,,,0,4,,,2020-10-31
성품좋은어린이집,전라북도,전주시 덕진구,민간,46,13,전라북도 전주시 덕진구 천마산로 100 송천진흥더블파크 단지내 관리동 보육시설 (송천동1가),063-251-2232,,,0,6,,,2020-10-31
세븐팰리스어린이집,전라북도,전주시 완산구,민간,47,8,전라북도 전주시 완산구 효자동2가 우전로 180 세븐팰리스아파트 관리동,063-236-0312,,,0,7,,,2020-10-31
세원어린이집,전라북도,전주시 덕진구,가정,13,1,"전라북도 전주시 덕진구 호성동1가 호성1길 29 나동 107호(호성동1가, 신동아)",063-243-4028,,,0,3,,,2020-10-31
세창어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 용리로 179 103동 103호(삼천동1가, 세창짜임)",063-901-3723,,,0,4,,,2020-10-31
세향어린이집,전라북도,전주시 완산구,가정,19,2,"전라북도 전주시 완산구 소대배기로 33 102동 103호(평화동2가, 현대)",063-224-0103,,,0,4,,,2020-10-31
센트럴키즈어린이집,전라북도,전주시 덕진구,민간,44,13,전라북도 전주시 덕진구 송천로 1 송천동센트럴파크아파트 관리동(1층) (송천동1가),063-275-1116,,,0,6,,,2020-10-31
소나무어린이집,전라북도,전주시 덕진구,가정,20,5,"전라북도 전주시 덕진구 호반로 11 203동 101호(송천동1가, 송천동센트럴파크2단지아파트)",063-904-5004,,,0,5,,,2020-10-31
소망어린이집,전라북도,전주시 덕진구,민간,91,13,전라북도 전주시 덕진구 실리1길 26-8,063-211-9888,,,1,13,,,2020-10-31
소원어린이집,전라북도,전주시 덕진구,가정,20,1,"전라북도 전주시 덕진구 호성동1가 동부대로 787 5동 101호(호성동1가, 동신아파트)",063-904-7878,,,0,4,,,2020-10-31
소율어린이집,전라북도,전주시 완산구,민간,93,11,"전라북도 전주시 완산구 삼천천변3길 20 단지내(삼천동1가, 호반리젠시빌)",063-228-0162,,,1,8,,,2020-10-31
솔내어린이집,전라북도,전주시 덕진구,민간,38,9,전라북도 전주시 덕진구 천마산로 33 전북 전주시 덕진구 송천동2가 1280번지 송천주공2차아파트 관리동,063-272-5488,,,0,4,,,2020-10-31
솔로몬어린이집,전라북도,전주시 덕진구,사회복지법인,48,11,전라북도 전주시 덕진구 붓내4길 17-1,063-252-3618,,,0,7,,,2020-10-31
솔밭영재어린이집,전라북도,전주시 완산구,가정,19,6,"전라북도 전주시 완산구 양지2길 10 104동 102호(평화동2가, 동신)",063-236-8778,,,0,4,,,2020-10-31
솔빛어린이집,전라북도,전주시 덕진구,민간,21,5,전라북도 전주시 덕진구 송천동1가 송천3길 55 벽산e-리버파크아파트(관리동),063-277-7931,,,0,5,,,2020-10-31
솜사탕어린이집,전라북도,전주시 덕진구,가정,20,6,"전라북도 전주시 덕진구 송천동1가 가리내로 550 108동 101호(송천동1가,한양아파트)",063-255-3540,,,0,4,,,2020-10-31
송림꽃무지풀무지어린이집,전라북도,전주시 완산구,민간,99,15,전라북도 전주시 완산구 효자동2가 한절길 67-44,063-273-6677,,,1,15,,,2020-10-31
송이송이어린이집,전라북도,전주시 완산구,가정,20,5,"전라북도 전주시 완산구 백제대로 13 105동 107호(삼천동1가, 고층우성아파트)",063-226-4333,,,0,4,,,2020-10-31
송정아가방어린이집,전라북도,전주시 완산구,가정,19,4,"전라북도 전주시 완산구 평화7길 40 106동 101호(평화동2가, 송정써미트)",063-901-2233,,,0,3,,,2020-10-31
송정좋은친구 어린이집,전라북도,전주시 완산구,가정,19,3,"전라북도 전주시 완산구 평화7길 40 107동 101호(평화동2가, 송정써미트)",063-901-5171,,,0,4,,,2020-10-31
송천동트는어린이집,전라북도,전주시 덕진구,민간,108,16,전라북도 전주시 덕진구 천마산로 116-3,063-275-7737,,,1,11,,,2020-10-31
송천원광어린이집,전라북도,전주시 덕진구,법인·단체,67,7,전라북도 전주시 덕진구 송천중앙로 100  -3 송천원광어린이집,063-254-8615,,,1,8,,,2020-10-31
수어린이집,전라북도,전주시 완산구,가정,19,1,"전라북도 전주시 완산구 호암로 41 809동 104호(효자동2가, 아르팰리스휴먼시아)",063-225-1011,,,0,4,,,2020-10-31
순복음어린이집,전라북도,전주시 덕진구,민간,49,8,전라북도 전주시 덕진구 견훤왕궁로 246-3,063-255-0363,,,0,4,,,2020-10-31
숲소리어린이집,전라북도,전주시 완산구,민간,53,11,전라북도 전주시 완산구 효자동3가 원서곡길 27,063-255-8253,,,1,8,,,2020-10-31
숲속마을가정어린이집,전라북도,전주시 덕진구,가정,20,6,"전라북도 전주시 덕진구 벚꽃로 57 117동 101호(진북동, 우성)",063-901-5002,,,0,5,,,2020-10-31
숲속몬테소리어린이집,전라북도,전주시 덕진구,민간,45,6,전라북도 전주시 덕진구 인후동1가 한배미6길 26 (인후동1가),063-243-3536,,,1,5,,,2020-10-31
숲속어린이집,전라북도,전주시 덕진구,가정,20,6,전라북도 전주시 덕진구 틀못4길 17 우미린2차 203동 101호,063-212-6377,,,0,4,,,2020-10-31
숲정이성지어린이집,전라북도,전주시 덕진구,법인·단체,79,13,전라북도 전주시 덕진구 진북1길 26 숲정이성지 어린이집,063-255-1905,,,1,10,,,2020-10-31
쉐마어린이집,전라북도,전주시 덕진구,민간,99,16,전라북도 전주시 덕진구 호성로 18-5,063-241-5979,,,1,9,,,2020-10-31
스위첸어린이집,전라북도,전주시 덕진구,민간,33,9,전라북도 전주시 덕진구 송천동1가 오송1길 37-17 송천KCC스위첸아파트 관리동 보육시설,063-273-5576,,,0,5,,,2020-10-31
슬기로운아이어린이집,전라북도,전주시 완산구,가정,19,2,"전라북도 전주시 완산구 안행로 175 101동 104호(중화산동1가, 현대1차)",063-231-6602,,,0,4,,,2020-10-31
신나는아이어린이집,전라북도,전주시 덕진구,가정,19,6,"전라북도 전주시 덕진구 송천2길 25 1동 107호(송천동1가, 라이프)",063-277-5652,,,0,4,,,2020-10-31
신나는어린이집,전라북도,전주시 덕진구,가정,13,4,"전라북도 전주시 덕진구 무삼지로 32 205동 105호(인후동1가, 인후꿈마을부영2차아파트)",063-245-3515,,,0,4,,,2020-10-31
신난다어린이집,전라북도,전주시 완산구,가정,20,4,"전라북도 전주시 완산구 당산로 101 104동 103호(서신동, 동아)",063-276-4924,,,0,4,,,2020-10-31
신동어린이집,전라북도,전주시 완산구,민간,82,9,전라북도 전주시 완산구 맏내로 158-11 (평화동2가),063-237-0022,,,1,8,,,2020-10-31
신색동어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 용리로 133 110호(삼천동1가, 삼익아파트)",063-224-8848,,,0,5,,,2020-10-31
신생어린이집,전라북도,전주시 완산구,사회복지법인,74,7,전라북도 전주시 완산구 난전들로 22-7 (평화동3가),063-226-9952,,,1,11,,,2020-10-31
신세계어린이집,전라북도,전주시 덕진구,사회복지법인,126,14,전라북도 전주시 덕진구 아중6길 24-4,063-242-6626,,,1,7,,,2020-10-31
신원아띠어린이집,전라북도,전주시 완산구,민간,21,4,"전라북도 전주시 완산구 효자동1가 용머리로 101 (효자동1가,신원리브웰) 관리동",063-225-2990,,,0,6,,,2020-10-31
신일아이사랑어린이집,전라북도,전주시 완산구,가정,20,5,"전라북도 전주시 완산구 강변로 98 105동 105호(삼천동1가, 신일강변)",063-221-7661,,,0,4,,,2020-10-31
신일어린이집,전라북도,전주시 덕진구,민간,99,8,전라북도 전주시 덕진구 송천동1가 솔내로 144 전주 신일 어린이집,063-277-5805,,,1,8,,,2020-10-31
신전주어린이집,전라북도,전주시 완산구,민간,89,6,전라북도 전주시 완산구 능안자구길 75 (삼천동3가),063-226-9422,,,1,8,,,2020-10-31
쌍용기쁨어린이집,전라북도,전주시 덕진구,가정,20,4,전라북도 전주시 덕진구 송천동2가 와룡로 40 송천동1차쌍용아파트 103동 102호,063-278-2113,,,0,5,,,2020-10-31
썬샤인어린이집,전라북도,전주시 완산구,민간,99,1,전라북도 전주시 완산구 효자동2가 우전로 96,063-224-1766,,,1,32,,,2020-10-31
쑥쑥어린이집,전라북도,전주시 완산구,가정,20,6,"전라북도 전주시 완산구 평화로 100 209동 102호(평화동2가, 주공그린2단지)",063-227-2330,,,0,4,,,2020-10-31
씽씽가정어린이집,전라북도,전주시 덕진구,가정,13,2,"전라북도 전주시 덕진구 무삼지로 32 204동 102호(인후동1가, 인후꿈마을부영2차아파트)",063-245-3960,,,0,4,,,2020-10-31
아가또래어린이집,전라북도,전주시 완산구,가정,13,1,"전라북도 전주시 완산구 서신천변11길 22 106동 103호(서신동, 성원)",063-275-6060,,,0,4,,,2020-10-31
아가베베궁어린이집,전라북도,전주시 덕진구,가정,19,3,"전라북도 전주시 덕진구 쪽구름로 13 104동 112호(여의동, 제일)",063-905-4732,,,0,4,,,2020-10-31
아가사랑어린이집,전라북도,전주시 덕진구,사회복지법인,58,12,전라북도 전주시 덕진구 덕용1길 53-1,063-213-9011,,,1,10,,,2020-10-31
아기나무어린이집,전라북도,전주시 완산구,가정,20,5,전라북도 전주시 완산구 따박골로 8 2동 102호(효자동1가 남양황실),063-223-0053,,,0,4,,,2020-10-31
아기둥지어린이집,전라북도,전주시 덕진구,가정,13,3,"전라북도 전주시 덕진구 소리로 179 215동 103호(호성동1가, 주공아파트)",063-903-8686,,,0,4,,,2020-10-31
아기별어린이집,전라북도,전주시 덕진구,민간,66,14,전라북도 전주시 덕진구 무삼지5길 18 (인후동1가),063-244-1674,,,1,8,,,2020-10-31
아기사랑어린이집,전라북도,전주시 덕진구,가정,17,3,"전라북도 전주시 덕진구 동부대로 785 301동 110호(호성동1가, 동신아파트)",063-245-6325,,,0,4,,,2020-10-31
아기샛별어린이집,전라북도,전주시 덕진구,가정,13,2,"전라북도 전주시 덕진구 붓내3길 29 112동 103호(송천동2가, 주공아파트)",063-904-3111,,,0,4,,,2020-10-31
아기숲어린이집,전라북도,전주시 덕진구,민간,27,9,"전라북도 전주시 덕진구 거북바우3길 15 관리동 1층(금암동, 중앙하이츠아파트)",063-274-1288,,,0,5,,,2020-10-31
아기천사어린이집,전라북도,전주시 완산구,사회복지법인,59,13,전라북도 전주시 완산구 외칠봉1길 17 (효자동1가),063-282-5629,,,1,14,,,2020-10-31
아기토마토어린이집,전라북도,전주시 덕진구,가정,19,5,"전라북도 전주시 덕진구 벚꽃로 57 113동 101호(진북동, 우성)",063-273-0079,,,0,4,,,2020-10-31
아띠맘어린이집,전라북도,전주시 완산구,가정,19,3,"전라북도 전주시 완산구 거마평로 139 101동 107호(효자동1가, 삼성효자맨션)",063-226-2345,,,0,4,,,2020-10-31
아띠어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 평화7길 40 104동 103호(평화동2가, 송정써미트)",063-229-3773,,,0,4,,,2020-10-31
아람어린이집,전라북도,전주시 덕진구,사회복지법인,99,10,전라북도 전주시 덕진구 기린대로 1018-7 푸른솔아파트단지내,063-212-0010,,,1,6,,,2020-10-31
아롱별어린이집,전라북도,전주시 완산구,가정,12,5,"전라북도 전주시 완산구 서곡로 34 102동 105호(효자동3가, 청솔)",063-252-8855,,,0,3,,,2020-10-31
아르팰리스물앤빛어린이집,전라북도,전주시 완산구,민간,56,11,"전라북도 전주시 완산구 호암로 41 단지내(효자동2가, 아르팰리스휴먼시아)",063-225-4024,,,1,12,,,2020-10-31
아름다운어린이집,전라북도,전주시 완산구,민간,25,5,"전라북도 전주시 완산구 삼천천변1길 9 관리동(삼천동1가, 삼천주공6단지)",063-226-0856,,,0,5,,,2020-10-31
아빠랑어린이집,전라북도,전주시 덕진구,민간,37,7,전라북도 전주시 덕진구 우아동3가 도당산4길 53-12 아빠랑어린이집,063-243-2919,,,0,16,,,2020-10-31
아이가크는숲예솔어린이집,전라북도,전주시 덕진구,민간,99,16,전라북도 전주시 덕진구 동가재미2길 59 (인후동1가),063-245-3500,,,1,11,,,2020-10-31
아이깨비어린이집,전라북도,전주시 완산구,가정,16,5,"전라북도 전주시 완산구 온고을로 119 103동 103호(서신동, 신일)",063-252-8327,,,0,4,,,2020-10-31
아이누리어린이집,전라북도,전주시 덕진구,가정,18,6,"전라북도 전주시 덕진구 솔내9길 5 102동 107호(송천동1가, 송천동우림)",063-274-0323,,,0,4,,,2020-10-31
아이다솜어린이집,전라북도,전주시 완산구,민간,37,9,전라북도 전주시 완산구 하거마3길 25 (삼천동1가),063-226-6697,,,0,6,,,2020-10-31
아이다움어린이집,전라북도,전주시 완산구,민간,53,13,전라북도 전주시 완산구 효자동3가 홍산북로 83 (효자동3가)코오롱스카이타워 관리동 내,063-714-2999,,,1,8,,,2020-10-31
아이들세상어린이집,전라북도,전주시 완산구,민간,163,25,전라북도 전주시 완산구 평화로 71 (평화동2가),063-223-0223,,,1,14,,,2020-10-31
아이들세상어린이집,전라북도,전주시 덕진구,민간,77,20,전라북도 전주시 덕진구 무삼지1길 14-3,063-244-2541,,,1,23,,,2020-10-31
아이뜰어린이집,전라북도,전주시 완산구,민간,99,16,전라북도 전주시 완산구 화산천변2길 11-3 (중화산동2가),063-229-0078,,,1,16,,,2020-10-31
아이렌어린이집,전라북도,전주시 덕진구,가정,19,2,전라북도 전주시 덕진구 송천동1가 송천로 43 서호 2차 @ 201-101,063-274-0211,,,0,6,,,2020-10-31
아이림어린이집,전라북도,전주시 덕진구,가정,20,3,전라북도 전주시 덕진구 명주5길 14-12,070-7724-8247,,,0,4,,,2020-10-31
아이맘어린이집,전라북도,전주시 완산구,가정,19,3,"전라북도 전주시 완산구 평화7길 40 102동 107호(평화동2가, 송정써미트)",063-228-2298,,,0,4,,,2020-10-31
아이사랑어린이집,전라북도,전주시 덕진구,민간,99,8,전라북도 전주시 덕진구 반룡1길 8 (팔복동2가),063-212-8873,,,1,9,,,2020-10-31
아이세상어린이집,전라북도,전주시 덕진구,민간,51,10,전라북도 전주시 덕진구 오송1길 13-5,063-272-8819,,,1,8,,,2020-10-31
아이숲어린이집,전라북도,전주시 완산구,가정,20,4,"전라북도 전주시 완산구 효자동2가 우전로 180 707동 103호(효자동2가, LH세븐팰리스아파트)",063-222-7155,,,0,4,,,2020-10-31
아이와숲어린이집,전라북도,전주시 완산구,민간,31,9,"전라북도 전주시 완산구 안행2길 26 단지내 (효자동1가, 대림)",063-226-7080,,,0,6,,,2020-10-31
아이와어린이집,전라북도,전주시 완산구,가정,20,5,"전라북도 전주시 완산구 효자동2가 우전로 180 708동 102호(효자동 2가, LH세븐팰리스아파트)",063-221-0399,,,0,4,,,2020-10-31
아이원어린이집,전라북도,전주시 완산구,가정,16,3,"전라북도 전주시 완산구 서곡로 8 107동 106호(효자동3가, 서곡주공)",063-902-6111,,,0,4,,,2020-10-31
아이월드어린이집,전라북도,전주시 덕진구,민간,87,11,전라북도 전주시 덕진구 호성로 40,063-243-1780,,,1,11,,,2020-10-31
아이조아어린이집,전라북도,전주시 덕진구,가정,19,4,"전라북도 전주시 덕진구 와룡2길 7 101동 101호(송천동2가, 솔내마을동아)",063-275-6788,,,0,4,,,2020-10-31
아중어린이집,전라북도,전주시 덕진구,민간,66,10,전라북도 전주시 덕진구 한배미3길 8 (인후동1가),063-244-1199,,,1,8,,,2020-10-31
아침해어린이집,전라북도,전주시 덕진구,민간,76,4,전라북도 전주시 덕진구 호성동2가 화정안길 25 (호성동2가),063-276-6787,,,1,10,,,2020-10-31
아트빌어린이집,전라북도,전주시 완산구,민간,30,9,전라북도 전주시 완산구 화산천변6길 5 (중화산동2가),063-227-4231,,,0,4,,,2020-10-31
안디옥어린이집,전라북도,전주시 덕진구,민간,87,11,전라북도 전주시 덕진구 화정길 41 (호성동2가),063-253-0545,,,1,6,,,2020-10-31
알곡어린이집,전라북도,전주시 덕진구,민간,114,15,전라북도 전주시 덕진구 원산정길 18 (산정동),063-241-6004,,,1,8,,,2020-10-31
알프스어린이집,전라북도,전주시 완산구,민간,28,5,"전라북도 전주시 완산구 견훤로 100-14 상가동 1층(중노송동, 기린봉아파트)",070-4263-8271,,,0,3,,,2020-10-31
애플어린이집,전라북도,전주시 덕진구,민간,27,7,전라북도 전주시 덕진구 인후동1가 안덕원로 251 관리동내,063-241-6780,,,0,5,,,2020-10-31
애플트리어린이집,전라북도,전주시 완산구,가정,20,6,"전라북도 전주시 완산구 효자동2가 소태정로 1 403동 103호(효자동2가,휴먼시아아이린)",070-4063-5778,,,0,4,,,2020-10-31
양정어린이집,전라북도,전주시 덕진구,민간,82,10,전라북도 전주시 덕진구 솔내9길 8-11,063-275-3174,,,1,8,,,2020-10-31
양지가정어린이집,전라북도,전주시 완산구,가정,18,1,"전라북도 전주시 완산구 양지2길 10 107동 106호(평화동2가, 동신)",063-223-2441,,,0,2,,,2020-10-31
어깨동무어린이집,전라북도,전주시 완산구,가정,20,4,전라북도 전주시 완산구 선너머3길 19-9 (중화산동1가),063-288-2201,,,0,4,,,2020-10-31
